ID,atable_rank,btable_rank,title,atable_rating,atable_show_type,atable_votes,atable_episodes,btable_rating,btable_show_type,btable_votes,btable_episodes
0,1a,21b,Fullmetal Alchemist: Brotherhood,9.1,TV,3189241,64,9.09,TV,6089,64.0
1,2a,41b,Steins;Gate,9.07,TV,2450766,24,9.08,TV,4864,24.0
2,16a,364b,Gintama,8.94,TV,1026592,201,8.39,TV,1357,201.0
3,26a,86b,Monster,8.87,TV,1021609,74,8.76,TV,3546,74.0
4,41a,268b,Hajime no Ippo,8.76,TV,550301,75,8.74,TV,1654,76.0
5,42a,3b,Cowboy Bebop,8.75,TV,1778748,26,8.93,TV,12432,26.0
6,56a,69b,One Piece,8.69,TV,2183719,?,8.15,TV,4261,
7,62a,849b,Violet Evergarden,8.67,TV,1685079,13,8.46,TV,627,13.0
8,63a,696b,Hajime no Ippo: New Challenger,8.66,TV,269141,26,8.63,TV,736,26.0
9,65a,619b,Made in Abyss,8.66,TV,1301065,13,8.69,TV,811,13.0
10,81a,2b,Death Note,8.62,TV,3728067,37,8.86,TV,13099,37.0
11,89a,951b,Chainsaw Man,8.58,TV,1294230,12,7.87,TV,609,
12,101a,51b,Neon Genesis Evangelion: The End of Evangelion,8.55,Movie,883900,1,8.33,movie,4970,
13,108a,119b,Perfect Blue,8.54,Movie,658815,1,8.1,movie,2993,
14,111a,725b,Slam Dunk,8.54,TV,284693,101,8.23,TV,741,101.0
15,125a,14b,Samurai Champloo,8.51,TV,1191203,26,8.53,TV,8020,26.0
16,128a,241b,One Punch Man,8.5,TV,3071085,12,8.22,TV,1917,
17,132a,687b,Mob Psycho 100,8.49,TV,1965897,12,8.3,TV,772,12.0
18,134a,608b,Aria the Origination,8.48,TV,124253,13,8.5,TV,845,13.0
19,158a,592b,Mononoke,8.43,TV,310614,12,8.49,TV,869,12.0
20,187a,704b,Barakamon,8.38,TV,640501,12,7.93,TV,787,12.0
21,188a,693b,Chihayafuru 2,8.38,TV,228077,25,8.09,TV,787,
22,190a,718b,Cross Game,8.38,TV,121352,50,8.75,TV,700,50.0
23,193a,62b,Baccano!,8.37,TV,880718,13,8.66,TV,4267,16.0
24,210a,134b,Hellsing Ultimate,8.35,OVA,891802,10,8.41,OAV,2733,10.0
25,212a,8b,Neon Genesis Evangelion,8.35,TV,1726156,26,8.32,TV,10364,26.0
26,215a,208b,Psycho-Pass,8.34,TV,1573745,22,8.09,TV,2166,22.0
27,225a,90b,Bakemonogatari,8.33,TV,1359168,15,8.34,TV,3578,15.0
28,234a,369b,Katanagatari,8.31,TV,546571,12,8.4,TV,1343,12.0
29,262a,840b,Hotarubi no Mori e,8.29,Movie,794239,1,8.31,movie,643,
30,264a,401b,Redline,8.28,Movie,360697,1,8.03,movie,1306,
31,266a,879b,Shirobako,8.28,TV,432795,24,8.31,TV,620,24.0
32,267a,971b,86,8.28,TV,693761,11,7.84,TV 2,591,12.0
33,268a,200b,Fate/Zero,8.28,TV,1452357,13,8.24,TV,2167,13.0
34,268a,288b,Fate/Zero,8.28,TV,1452357,13,8.39,TV 2,1621,12.0
35,274a,187b,Tokyo Godfathers,8.27,Movie,278470,1,8.39,movie,2203,
36,280a,122b,Nodame Cantabile,8.27,TV,307101,23,8.65,TV,2795,23.0
37,283a,153b,Planetes,8.26,TV,244524,26,8.55,TV,2451,26.0
38,307a,615b,Nodame Cantabile: Finale,8.23,TV,125405,11,8.33,TV,851,11.0
39,323a,902b,Magi: The Kingdom of Magic,8.22,TV,816760,25,7.52,TV,666,25.0
40,329a,15b,Trigun,8.22,TV,730165,26,8.37,TV,8055,26.0
41,353a,457b,Bakuman.,8.19,TV,604549,25,8.19,TV,1135,25.0
42,355a,605b,Fate/stay night: Unlimited Blade Works,8.19,TV,1028174,12,8.21,TV,878,13.0
43,355a,609b,Fate/stay night: Unlimited Blade Works,8.19,TV,1028174,12,7.44,movie,961,
44,355a,889b,Fate/stay night: Unlimited Blade Works,8.19,TV,1028174,12,8.02,TV 2,638,
45,358a,838b,Maison Ikkoku,8.19,TV,69240,96,8.47,TV,633,96.0
46,370a,458b,Chihayafuru,8.18,TV,445147,25,8.42,TV,1103,25.0
47,381a,77b,Black Lagoon: The Second Barrage,8.17,TV,498104,12,8.44,TV,3819,
48,390a,24b,Akira,8.16,Movie,808498,1,7.96,movie,6517,
49,392a,102b,Cardcaptor Sakura,8.16,TV,421883,70,7.94,TV,3462,70.0
50,394a,54b,Dragon Ball Z,8.16,TV,1180257,291,7.17,TV,5639,291.0
51,398a,724b,Noragami Aragoto,8.16,TV,1407214,13,7.7,TV,792,13.0
52,403a,446b,Death Parade,8.15,TV,1695583,12,7.89,TV,1192,12.0
53,414a,334b,Nisemonogatari,8.14,TV,713094,11,8.1,TV,1496,11.0
54,428a,813b,Kaiba,8.14,TV,146154,12,8.37,TV,664,12.0
55,433a,345b,Princess Tutu,8.13,TV,162771,38,8.38,TV,1411,38.0
56,453a,99b,Durarara!!,8.11,TV,1364826,24,8.06,TV,3475,24.0
57,454a,1b,Fullmetal Alchemist,8.11,TV,1430208,51,8.72,TV,13518,51.0
58,459a,601b,Detroit Metal City,8.1,OVA,205999,12,8.12,OAV,895,12.0
59,488a,66b,Serial Experiments Lain,8.08,TV,724468,13,7.89,TV,4484,
60,489a,186b,Skip Beat!,8.08,TV,262058,25,8.33,TV,2232,25.0
61,490a,44b,Toradora!,8.08,TV,2128186,25,8.47,TV,5074,25.0
62,496a,264b,Hikaru no Go,8.08,TV,133942,75,8.17,TV,1786,75.0
63,512a,50b,Angel Beats!,8.06,TV,2015524,13,8.53,TV,4876,13.0
64,536a,277b,Gosick,8.05,TV,529421,24,8.26,TV,1693,24.0
65,540a,173b,Golden Boy,8.04,OVA,376423,6,7.93,OAV,2457,6.0
66,544a,258b,Kill la Kill,8.04,TV,1664052,24,8.19,TV,1835,24.0
67,545a,106b,Paprika,8.04,Movie,512882,1,8.29,movie,3153,
68,548a,88b,Summer Wars,8.03,Movie,508113,1,8.71,movie,3460,
69,552a,48b,Black Lagoon,8.03,TV,963580,12,8.29,TV,5079,12.0
70,555a,12b,FLCL,8.03,OVA,789100,6,8.18,OAV,8759,6.0
71,556a,27b,Full Metal Panic? Fumoffu,8.03,TV,289608,12,8.4,TV,6072,12.0
72,561a,540b,Magi: The Labyrinth of Magic,8.02,TV,1010290,25,7.36,TV,1094,25.0
73,568a,529b,Black Lagoon: Roberta's Blood Trail,8.02,OVA,285920,5,8.1,OAV,1019,5.0
74,569a,147b,D.Gray-man,8.02,TV,675083,103,7.89,TV,2732,103.0
75,583a,516b,Tokyo Magnitude 8.0,8.01,TV,290339,11,8.24,TV,1028,11.0
76,591a,22b,Clannad,8.0,TV,1375134,23,8.58,TV,6310,24.0
77,591a,449b,Clannad,8.0,TV,1375134,23,7.49,movie,1252,
78,605a,13b,Naruto,7.99,TV,2728327,220,7.52,TV,9383,220.0
79,617a,337b,Kimi ni Todoke 2nd Season,7.98,TV,453807,12,8.35,TV,1446,12.0
80,621a,148b,xxxHOLiC,7.98,TV,310235,24,7.92,TV,2717,24.0
81,625a,68b,Haibane Renmei,7.97,TV,273234,13,8.47,TV,4114,
82,632a,946b,ReLIFE,7.97,TV,993344,13,8.1,TV,593,13.0
83,647a,85b,Dragon Ball,7.96,TV,992964,153,7.28,TV,4269,153.0
84,653a,733b,Kobato.,7.95,TV,163078,24,8.01,TV,754,24.0
85,655a,370b,Noragami,7.95,TV,2085725,12,7.57,TV,1486,12.0
86,687a,47b,Full Metal Panic! The Second Raid,7.93,TV,255692,13,8.42,TV,5024,13.0
87,687a,181b,Full Metal Panic! The Second Raid,7.93,TV,255692,13,8.0,OAV,2368,1.0
88,691a,10b,Bleach,7.92,TV,1865627,366,7.94,TV,9238,366.0
89,695a,809b,Eyeshield 21,7.92,TV,178109,145,7.57,TV,738,145.0
90,701a,438b,Log Horizon,7.92,TV,1084628,25,8.1,TV,1186,25.0
91,701a,854b,Log Horizon,7.92,TV,1084628,25,7.63,TV 2,691,25.0
92,706a,537b,Trigun: Badlands Rumble,7.92,Movie,138019,1,7.98,movie,1010,
93,708a,301b,Yakitate!! Japan,7.91,TV,95614,69,7.02,TV,1884,69.0
94,716a,193b,Kaleido Star,7.91,TV,83278,51,8.63,TV,2110,51.0
95,718a,630b,Overlord,7.91,TV,1517301,13,7.71,TV,907,13.0
96,719a,868b,Plastic Memories,7.91,TV,907872,13,7.6,TV,683,13.0
97,739a,76b,Ergo Proxy,7.9,TV,622541,23,7.99,TV,4043,
98,760a,79b,School Rumble,7.89,TV,320867,26,8.25,TV,3899,
99,800a,806b,Beelzebub,7.86,TV,579898,60,7.61,TV,734,60.0
100,818a,459b,Tiger & Bunny,7.85,TV,222169,25,8.23,TV,1129,25.0
101,836a,312b,Paradise Kiss,7.85,TV,215212,12,7.9,TV,1623,12.0
102,845a,75b,Soul Eater,7.84,TV,1569994,51,8.11,TV,3993,
103,867a,83b,Gungrave,7.83,TV,184484,26,8.35,TV,3764,26.0
104,925a,763b,Jormungand,7.8,TV,348592,12,7.76,TV,755,12.0
105,926a,905b,Little Witch Academia,7.8,Movie,305652,1,7.92,movie,632,
106,934a,63b,Wolf's Rain,7.8,TV,319967,26,7.94,TV,4522,
107,934a,259b,Wolf's Rain,7.8,TV,319967,26,8.21,OAV,1827,4.0
108,938a,343b,Tokyo Ghoul,7.79,TV,2708660,12,7.23,TV,1644,12.0
109,949a,59b,Last Exile,7.79,TV,170458,26,8.33,TV,4546,
110,957a,807b,Mind Game,7.78,Movie,82403,1,7.98,movie,700,
111,979a,246b,Digimon Adventure,7.77,TV,390373,54,6.75,TV,2316,54.0
112,999a,411b,Texhnolyze,7.76,TV,240472,22,7.55,TV,1365,22.0
