rank,title,rating,age_rating,run_time,year_range,votes
299c,Senpai ga Uzai Kouhai no Hanashi,7.4,TV-14,,(2021– ),1069
300c,Thermae Romae Novae,7.0,TV-MA,30 min,(2022),1077
301c,Dakaichi: I'm Being Harassed by the Sexiest Man of the Year-,7.3,,24 min,(2018– ),1150
302c,"Hensuki: Are you willing to fall in love with a pervert, as long as she's a cutie?",6.3,TV-14,23 min,(2019– ),908
303c,The Pet Girl of Sakurasou,7.7,TV-14,24 min,(2012–2013),4821
304c,Kenji Miyazawa's Night on the Galactic Railroad,7.0,Unrated,113 min,(1985),2210
305c,Raven of the Inner Palace,7.4,,23 min,(2022),296
306c,Idaten Jump,8.2,TV-PG,20 min,(2005–2006),640
307c,Majikoi ~ Oh! Samurai Girls,5.7,TV-14,,(2011–2012),332
308c,Dragonaut: The Resonance,6.2,TV-14,25 min,(2007–2009),130
309c,Magical Sempai,6.2,TV-14,15 min,(2019– ),634
310c,Love Tyrant,6.3,TV-14,24 min,(2017),838
311c,The World God Only Knows,7.3,TV-14,24 min,(2010–2013),1119
312c,Okko's Inn,7.1,PG,94 min,(2018),2148
313c,Splinter Cell,,,,,
314c,Colorful,7.4,TV-14,126 min,(2010),6707
315c,Project A-Ko,6.9,Unrated,86 min,(1986),1388
316c,Oban Star Racers: The Alwas Cycle,8.0,TV-Y7,25 min,(2006),2017
317c,Urusei Yatsura 2: Beautiful Dreamer,7.4,Unrated,90 min,(1984),2109
318c,Stand by Me Doraemon 2,7.5,Not Rated,96 min,(2020),4443
319c,Black Cat,7.0,TV-PG,25 min,(2005–2006),1169
320c,Ningen Fushin: Adventurers Who Don't Believe in Humanity Will Save the World,6.0,TV-14,,(2023),415
321c,Are You Really the Only One Who Likes Me,7.0,TV-14,,(2019– ),1114
322c,Medabots,6.7,TV-Y7,30 min,(1999–2004),2411
323c,Macross: Do You Remember Love?,7.7,Not Rated,114 min,(1984),3294
324c,O Maidens in Your Savage Season,7.2,TV-14,24 min,(2019– ),840
325c,Astro Boy,7.4,TV-Y7,30 min,(1963–1965),993
326c,Mobile Suit Gundam ZZ,6.8,TV-Y7,30 min,(1986–1987),655
327c,Koi to uso,6.1,TV-14,24 min,(2017– ),746
328c,Witch Craft Works,6.7,TV-14,22 min,(2014–2015),553
329c,The Kingdom of Dreams and Madness,7.7,Not Rated,118 min,(2013),5422
330c,Malevolent Spirits: Mononogatari,6.8,TV-14,,(2023– ),149
331c,Made in Abyss: Journey's Dawn,7.4,,119 min,(2019),776
332c,Wonderland,3.6,Unrated,80 min,(2011),362
333c,A Dog's Courage,6.1,TV-PG,102 min,(I) (2018),198
334c,Maoyu ~ Archenemy & Hero,6.9,TV-14,23 min,(2013– ),749
335c,Venus Wars,6.6,Not Rated,103 min,(1989),1866
336c,Boarding School Juliet,7.3,Not Rated,24 min,(2018),831
337c,Didn't I Say to Make My Abilities Average in the Next Life?!,6.5,TV-14,23 min,(2019),726
338c,Bright: Samurai Soul,5.5,TV-14,80 min,(2021),979
339c,"Play it Cool, Guys",7.2,,,(2022–2023),166
340c,Time of Eve,7.2,,106 min,(2010),3979
341c,Terminator Salvation: The Machinima Series,5.4,TV-14,14 min,(2009),598
342c,When Supernatural Battles Became Commonplace,6.5,TV-14,24 min,(2014),526
343c,Princess Connect! Re: Dive,6.4,TV-14,23 min,(2020– ),575
344c,Children of the Whales,7.0,TV-MA,24 min,(2017),1701
345c,"My Sister, My Writer",4.1,,24 min,(2018– ),170
346c,Modest Heroes,6.6,PG,53 min,(2018),2937
347c,Armed Girl's Machiavellism,6.6,TV-14,,(2017),463
348c,Amagi Brilliant Park,7.0,TV-14,24 min,(2014–2015),1271
349c,Dragons of Wonderhatch,,,,,
350c,Pui Pui Molcar,8.1,TV-Y7,2 min,(2021– ),519
351c,Myriad Colors Phantom World,6.3,TV-14,24 min,(2016– ),859
352c,Digimon Frontier,6.7,TV-Y7,,(2002–2003),2800
353c,Cat Soup,7.6,Not Rated,34 min,(2001),5713
354c,Eternights,,,,(2023 Video Game),
355c,Dusk Maiden of Amnesia,7.3,TV-14,24 min,(2012),1118
356c,Mega Man,6.6,TV-Y7,22 min,(1994–1995),1093
357c,Revolutionary Girl Utena: The Movie,7.2,Not Rated,100 min,(1999),1686
358c,Digimon Tamers,7.6,TV-Y7,,(2001–2002),2193
359c,Konohana Kitan,7.2,,23 min,(2017– ),259
360c,"Saving 80,000 Gold in Another World for my Retirement",6.5,TV-14,,(2023),262
361c,Her Blue Sky,6.8,,106 min,(2019),1343
362c,Les Miserables: Shoujo Cosette,8.1,,24 min,(2007),346
363c,Appleseed: Ex Machina,7.0,PG-13,105 min,(2007),9759
364c,Teknoman,8.4,TV-Y7,,(1995),86
365c,Vexille,6.8,PG-13,109 min,(2007),7785
366c,Monster Hunter: Legends of the Guild,5.1,TV-14,58 min,(2021 TV Movie),1423
367c,Ghost in the Shell: SAC_2045 - Sustainable War,5.9,,119 min,(2021),406
368c,The Murder of Sonic the Hedgehog,8.1,E,,(2023 Video Game),66
369c,Horus: Prince of the Sun,6.6,Not Rated,82 min,(1968),2396
370c,Galaxy Express 999,7.4,PG,129 min,(1979),2217
371c,Poupelle of Chimney Town,6.4,PG,100 min,(2020),559
372c,Pokémon the Movie: The Power of Us,6.2,Not Rated,100 min,(2018),2809
373c,Mysterious Girlfriend X,7.1,TV-MA,30 min,(2012– ),917
374c,Burn the Witch,6.7,,63 min,(2020),1065
375c,The Anthem of the Heart,7.3,,119 min,(2015),6066
376c,Mobile Suit Gundam Thunderbolt,7.6,,,(2015–2017),71
377c,Genius Party,6.9,Not Rated,102 min,(2007),1597
378c,Zoids: Chaotic Century,7.9,TV-Y7,,(1999– ),663
379c,Origin: Spirits of the Past,6.3,Not Rated,94 min,(2006),4771
380c,Beelzebub,7.5,TV-MA,,(2011–2012),2191
381c,Beyblade X,,,,,
382c,Blend S,6.9,TV-14,23 min,(2017),1406
383c,Arcadia of My Youth,7.1,Not Rated,130 min,(1982),963
384c,Assassin(s),6.5,,128 min,(1997),2174
385c,Too Cute Crisis,7.0,,,(2023– ),60
386c,THE IDOLM@STER CINDERELLA GIRLS U149,7.3,TV-14,24 min,(2023– ),23
387c,Snow Daze,6.8,M,,(2018 Video Game),31
388c,Aho Girl,6.6,,12 min,(2017),1215
389c,Class of '09,7.1,M,,(2021 Video Game),9
390c,Digimon Adventure 02,7.4,TV-G,30 min,(2000–2001),1808
391c,Astro Boy,7.3,TV-G,24 min,(1980–2004),959
392c,Tsuujou Kougeki ga Zentai Kougeki de Ni-kai Kougeki no Okaasan wa Suki Desuka?,5.2,TV-MA,24 min,(2019– ),493
393c,Ultramarine Magmell,6.1,TV-14,24 min,(2019),731
394c,Armitage III: Dual Matrix,6.3,Not Rated,90 min,(2001 Video),1204
395c,Cardfight!! Vanguard,5.8,,25 min,(2011– ),136
396c,The Dog of Flanders,7.7,Not Rated,93 min,(1997),681
397c,Kizuna No Allele,4.1,,,(2023– ),26
398c,I Want You to Show Me Your Panties with a Disgusted Face,5.3,,4 min,(2018),117
399c,Linkin Park: Lost,8.3,,3 min,(2023 Music Video),29
400c,Giovanni's Island,7.3,,102 min,(2014),2140
401c,Mai Mai Miracle,6.9,,93 min,(2009),1166
402c,Chibi Godzilla Raids Again,,,3 min,(2023),
403c,Mato Seihei no Slave,,,,(2024– ),
404c,Lovesick,4.9,,90 min,(2011),192
405c,The Fire Hunter,6.3,TV-14,24 min,(2023– ),118
406c,Engine Sentai Go-onger,6.4,TV-PG,25 min,(2008–2009),130
407c,Oni,7.9,T,,(2001 Video Game),208
408c,The Idolm@ster,6.6,,30 min,(2011),211
409c,Maria the Virgin Witch,6.7,TV-MA,24 min,(2015– ),321
410c,Master Keaton,7.9,,30 min,(1998–2000),204
411c,RWBY Chibi,7.6,TV-PG,85 min,(2016– ),585
412c,The Adventures of Tyrano Boy,6.2,,82 min,(2015),20
413c,Robotech: The Shadow Chronicles,6.3,PG,88 min,(2006),1600
414c,Monsuno,4.9,TV-Y7,,(2011– ),633
415c,Dragon Crisis!,6.0,,,(2011– ),175
416c,Macross Plus Movie Edition,7.6,,115 min,(1995),648
417c,This Art Club Has a Problem!,6.6,TV-PG,24 min,(2016– ),401
418c,Doraemon the Movie: Nobita's Dinosaur,7.1,PG,107 min,(2006),1369
419c,I Want You to Show Me Your Panties with a Disgusted Face 2,6.2,,6 min,(2019),62
420c,Slug Street Scrappers: Beat Em Up,8.2,Not Rated,79 min,(2013),105
421c,Never-Ending Man: Hayao Miyazaki,6.8,,70 min,(2016 TV Movie),788
422c,Vandread,7.0,TV-14,,(2000–2001),897
423c,Puppet Princess,6.8,Not Rated,40 min,(2000 Video),106
424c,"How Clumsy You Are, Miss Ueno.",5.8,,15 min,(2019– ),184
425c,The Dragon from Russia,5.5,,96 min,(1990),454
426c,Take My Brother Away!,7.1,,3 min,(2017–2020),190
427c,Muse Dash,7.3,T,,(2018 Video Game),25
428c,Spirit Blade Mountain,6.7,,,(2016– ),109
429c,Pole Position,6.5,TV-Y7,30 min,(1984–1985),338
430c,Prince Planet,8.1,,30 min,(1965–1966),208
431c,Naruto Shippûden: Ultimate Ninja Storm 3,8.1,T,,(2013 Video Game),643
432c,Ground Control to Psychoelectric Girl,6.6,TV-Y,24 min,(2011– ),256
433c,Space Battleship Yamato,7.2,G,135 min,(1977),404
434c,Biohazard 4D: Executer,5.6,,19 min,(2000),535
435c,Kimagure Orange Road: I Want to Return to That Day,7.6,,69 min,(1988),501
436c,MM!,6.8,TV-MA,,(2010),236
437c,Musical Kuroshitsuji: Noah's Ark Circus,7.9,,190 min,(2017),23
438c,Pingu in the City,7.3,TV-G,7 min,(2017–2019),177
439c,Ginga e Kickoff,7.9,,,(2012–2013),38
440c,GirlFight: inVite,5.7,Not Rated,13 min,(2016),379
441c,Different Kinds of Rain,6.1,,91 min,(2017),396
442c,Otaku,6.7,,52 min,(1994),173
443c,Marvel vs. Capcom 2: New Age of Heroes,8.2,T,,(2000 Video Game),834
444c,THE IDOLM@STER CINDERELLA GIRLS,6.2,TV-14,24 min,(2014–2015),145
445c,Rock Bottom,6.3,,53 min,(II) (2020),14
446c,Daigunder,8.6,,30 min,(2002),104
447c,BlackedTheAnime,1.6,TV-Y,,(2020– ),1082
448c,Ultraman X: Here He Comes! Our Ultraman,6.1,,73 min,(2016),164
449c,Afro Samurai Champloo,7.7,,30 min,(2019),12
450c,Zoe and the Astronaut,6.1,,88 min,(2018),109
451c,Pretty Rhythm: Aurora Dream,8.0,,30 min,(2011–2012),28
452c,Kunoichi Tsubaki no mune no uchi,6.4,,,(2022– ),171
453c,Dark Cat,4.4,,60 min,(1991),121
454c,Gal Guardians: Demon Purge,,T,,(2023 Video Game),
455c,Adam Chaplin 2,,,,,
456c,Flint: The Time Detective,5.9,TV-Y7,30 min,(1998–1999),265
457c,Maximillian,4.1,,72 min,(2019),120
458c,Re: Zero kara hajimeru isekai seikatsu: Death or Kiss,8.5,,,(2017 Video Game),85
459c,Final Fantasy VII: Advent Children Bonus Disc,7.1,Not Rated,,(2006 Video),28
460c,The Klutzy Witch: Fuka and the Witch of Darkness,,,,(2023),
461c,Oblivion Island: Haruka and the Magic Mirror,6.8,TV-G,93 min,(2009),739
462c,PERSONA3 the Movie #3 Falling Down,6.5,Not Rated,83 min,(2015),464
463c,Marvel vs. Capcom: Clash of Super Heroes,8.1,T,,(1998 Video Game),695
464c,Castlevania: Aria of Sorrow,8.2,T,,(2003 Video Game),367
465c,Kureyon Shinchan: Arashi o Yobu: Utau Ketsudake Bakudan!,6.3,,102 min,(2007),99
466c,Please Tell Me! Galko-chan,7.0,TV-14,8 min,(2016–2017),313
467c,Moero! Top Striker,7.8,,25 min,(1992–1993),297
468c,Shinzo,7.4,TV-Y7,,(2000–2001),264
469c,Go Go Anime!,,Not Rated,60 min,(2004 Video),
470c,Evil Zone,8.2,T,,(1999 Video Game),46
471c,Date A Bullet: Nightmare or Queen,6.7,,29 min,(2020),115
472c,Japan Sinks: 2020 Theatrical Edition,6.5,,151 min,(2020),17
473c,Policenauts,8.4,,,(1994 Video Game),148
474c,Tales of the Abyss,7.9,T,,(2005 Video Game),234
475c,The King of Fighters XV,7.6,T,,(2021 Video Game),61
476c,Tales of Vesperia,8.2,T,,(2008 Video Game),308
477c,Anime Abandon,6.1,TV-14,,(2011– ),158
478c,Jujutsu kaisen: Jujutôku,,,,(2021 Podcast Series),
479c,22/7,6.6,TV-14,24 min,(2020– ),57
480c,Afterimage,,E10+,,(2023 Video Game),
481c,Love & Loathing & Lulu & Ayano,5.9,,105 min,(2010),133
482c,Model Combat,,TV-MA,,(2019),
483c,Pani poni dasshu!,6.6,TV-PG,23 min,(2005– ),210
484c,The Rapture,6.7,Not Rated,96 min,(2007 Video),49
485c,My Neck,,,,(2021– ),
486c,THE iDOLM@STER MILLION LIVE!,,,,(2023– ),
487c,Fame-ish,5.1,Not Rated,94 min,(2020),80
488c,Chronexia and the Eight Seals,2.3,,,(2016– ),22
489c,Cowboy Bebop: The Movie - Featurettes,8.2,Not Rated,42 min,(2003),383
490c,Garasu no kamen,7.6,TV-PG,24 min,(1984),76
491c,Untitled Dragon Ball & Animes Mix Movie,,,,,
492c,Shonen Jump: Naruto the Movie - Ninja Clash in the Land of Snow - Making Movies Ninja Style,6.6,Not Rated,20 min,(2007 Video),10
493c,Maken-ki! Two: Takeru Turns into a Woman!? Naked in a Southern Island!,7.8,,,(2013 Video),12
494c,Bright Memory: Infinite,6.8,,,(2021 Video Game),69
495c,AnimeTV,4.4,,,(2010– ),20
496c,Coffee Talk,7.2,T,,(2020 Video Game),93
497c,Gal*Gun: Double Peace,5.7,M,,(2015 Video Game),22
498c,Slug Street Scrappers: Rise of Ryuken,8.3,Unrated,49 min,(2012),77
499c,Future Folktales,8.0,,23 min,(2020),56
500c,CrossCode,8.4,T,,(2018 Video Game),31
501c,Corpse Factory,,,,(2022 Video Game),
502c,Mega Man 8,6.8,K-A,,(1996 Video Game),331
503c,Yume no Hoshi no Button Nose,8.2,,24 min,(1985–1986),39
504c,Petite Princess Yucie,7.4,TV-PG,25 min,(2002–2003),88
505c,The Idolmaster Movie: Beyond the Brilliant Future!,6.6,,121 min,(2014),123
506c,Mecha-Ude,6.6,,25 min,(2018 Video),27
507c,Carried by the Wind: Tsukikage Ran,7.3,,,(2000),76
508c,Oishinbo,7.8,,23 min,(1988–1992),21
509c,Corrector Yui,7.1,TV-Y7,,(1999–2000),62
510c,Madonna: Drowned World Tour 2001,8.5,R,105 min,(2001 TV Special),1383
511c,Rockman.exe Stream,7.4,TV-14,30 min,(2004–2005),29
512c,VA-11 Hall-A,8.1,M,,(2016 Video Game),86
513c,8 Man,5.6,,83 min,(1992),98
514c,Himitsu no Akko-chan,6.7,,24 min,(1988– ),11
515c,Maerchen Maedchen,5.4,,23 min,(2018– ),101
516c,Cooking with Valkyries,6.6,,,(2019– ),15
517c,Sekirei: Kusano's First Shopping Trip,7.3,,10 min,(2009 Video),60
518c,X-Blades,5.8,M,,(2007 Video Game),43
519c,Saint October,7.6,,,(2007),14
520c,LOVE LIVE HINA: Hinata Girls ga Osaka na,,,65 min,(2000 Video),
521c,Flaming Alpine Rose: Jeudi & Lundi,7.6,,24 min,(1985),21
522c,Deep Space Waifu,,M,,(2017 Video Game),
523c,Hurricane Polimar,7.6,,25 min,(1974–1975),75
524c,Slug Street Scrappers,8.3,Unrated,16 min,(2012),49
525c,Otaku Unite!,6.6,,70 min,(2004),78
526c,Naruto the Movie 2: The Legend of the Stone of Gelel - Write and Adapt like a Ninja,,Not Rated,23 min,(2006 Video),
527c,The World of Dragon Ball Z,6.8,Not Rated,20 min,(2000 Video),54
528c,Soul of Darkness,,T,,(2010 Video Game),
529c,Animenia,6.5,Not Rated,,(2008– ),28
530c,Puchimas!: Petit Idolm@ster,5.0,,3 min,(2013–2014),43
531c,IDOLiSH7 Vibrato,8.2,,14 min,(2018 TV Short),30
532c,Boku no Son Goku,,,95 min,(2003),
533c,"Patrasche: A Dog of Flanders, Made in Japan",7.3,,90 min,(2007),28
534c,Solatorobo: Red the Hunter,7.2,E10+,,(2010 Video Game),14
535c,Himote House,7.5,,,(2018),84
536c,Archangel Alpha,,,,(2016),
537c,Anxiety,,,,(2018– ),
538c,Kurogane Communication,6.8,TV-PG,15 min,(1998– ),42
539c,Onmyô taisenki,8.2,,30 min,(2004–2005),21
540c,America's Greatest Otaku,4.8,,,(2011– ),19
541c,The Adventures of Qiaohu Magic Island,,,80 min,(2021),
542c,Battle Spirits: Shounen Gekiha Dan,,,24 min,(2009–2010),
543c,Dragon Ball Z: Ultimate Battle 22,5.9,T,,(1995 Video Game),143
544c,Hood,7.5,,20 min,(2011),13
545c,Mars Daybreak,7.3,TV-PG,,(2004– ),60
546c,Moyashimon,5.3,,24 min,(2010– ),15
547c,Jushin Riger,8.4,,30 min,(1989–1990),25
548c,A Moderate Folly,,,95 min,(2020),
549c,Pokémon Puzzle League,7.0,E,,(2000 Video Game),126
550c,Gunslinger Stratos: The Animation,5.7,TV-14,,(2015),88
551c,Wakakusa no Shârotto,6.5,,24 min,(1977–1978),24
552c,Batoru sutajiamu D.O.N.,7.0,,,(2006 Video Game),47
553c,Gambo,6.9,,12 min,(2013),22
554c,Mr. Massagy,4.8,M,,(2016 Video Game),16
555c,The 44th Chamber of Shaolin,,,14 min,(2023),
556c,Precure All Stars New Stage 2,7.3,,,(2013),10
557c,Prince of Tennis: Atobe's Gift,6.6,,,(2005),27
558c,Death Note,7.6,,10 min,(II) (2017),7
559c,Anime Fan Tom,8.2,Not Rated,71 min,(2010),11
560c,The Casebook of Charlotte Holmes,6.6,,24 min,(1977–1978),22
561c,Litchi DE Hikari Club,4.0,,3 min,(2012),32
562c,A Girl in a Lower Grade,,,,(1999),
563c,Planetarian: Snow Globe,7.1,,36 min,(2021 TV Special),23
564c,Technotise,,,,,
565c,The Wings of Rean,5.8,TV-PG,25 min,(2005– ),16
566c,Rokudenashi blues,,,87 min,(1996),
567c,19 Letters,8.2,,,(2018– ),9
568c,Dragon Force,8.4,K-A,,(1996 Video Game),27
569c,Master Keaton,,,,(1999–2000),
570c,Initial D: Battle Stage 3,5.6,,93 min,(2021 Video),17
571c,A Demon's Destiny: The Lone Warrior,4.2,TV-14,,(2009– ),10
572c,My Other Me: A Film About Cosplayers,8.0,Not Rated,85 min,(2013),88
573c,MarzGurl Reviews,5.8,TV-PG,20 min,(2008– ),73
574c,Zettai Karen Children: Gentei kaikin!! OVA chou sakidori special!!,,,16 min,(2010 Video),
575c,The Mirror/Anime,,,,,
576c,Voice of Fox,7.0,,15 min,(2018),24
577c,Mock & Sweet,7.6,,24 min,(1986–1987),24
578c,Re: Stage! Dream Days,6.1,TV-14,,(2019– ),16
579c,Battle Spirits: The Core Bearers,,,24 min,(2022),
580c,Kaiketsu Zorori the Movie: Secret Of,,,,(2017),
581c,Nekopara OVA: Koneko no hi no yakusoku,6.7,,21 min,(2018 Video),14
582c,Shattered Heaven,,,15 min,(2013– ),
583c,Linking Love,6.4,,116 min,(2017),22
584c,Sekai Meisaku Gekijou Kanketsu Ban: Romeo no Aoi Sora Part 1,,,45 min,(2001 TV Special),
585c,Ikimono-san,,,2 min,(2023– ),
586c,Pluster World,8.1,,,(2003–2004),10
587c,THE IDOLM@STER CINDERELLA GIRLS Theater,6.8,TV-14,3 min,(2017–2019),8
588c,Maesetsu!,6.2,TV-14,,(2020),20
589c,Did You Know Anime?,7.0,,,(2014– ),29
590c,Pokémon Channel,4.9,E,,(2003 Video Game),67
591c,Rex Park: Curse of the Golden Buddha,,,80 min,(2021),
592c,Pothound,7.6,,11 min,(2011),29
593c,Milk inside a bag of milk inside a bag of milk,7.0,T,,(2020 Video Game),39
594c,Tales of Legendia,7.6,T,,(2005 Video Game),81
595c,Record of Lodoss War: Deedlit in Wonder Labyrinth,7.4,,,(2020 Video Game),20
596c,III on a Match,,,,,
597c,Pink mizu-dorobô ame-dorobô,6.4,,30 min,(1990),23
598c,Lycoris That Blazes the Earth,,,175 min,(2014 Video),
599c,Method: A Voice Actor Prepares,,,12 min,(2022),
600c,Sekai Meisaku Gekijou Kanketsu Ban: Daisougen no Chiisana Tenshi Bush Baby Part 1,,,45 min,(2001 TV Special),
601c,Zorori the Naughty Hero: The secret of ZZ,8.1,,70 min,(2017),21
602c,Uta no prince-sama - Revolutions,7.0,,24 min,(2015),47
603c,Blazing Transfer Student,6.3,,46 min,(1991 Video),16
604c,Wansa-kun,8.1,,30 min,(1973),12
605c,Battle Spirits: Gallet's Revolution,,,24 min,(2020– ),
606c,Aikatsu on Parade!,6.4,TV-Y,24 min,(2019– ),11
607c,Enfrentamiento para Compartir un Paraguas,,,11 min,(2022),
608c,Coffee Talk: Hibiscus & Butterfly,6.4,T,,(2023 Video Game),12
609c,WCW SuperBrawl II,7.0,,,(1992 TV Special),77
610c,Three Little Ghosts,6.9,,26 min,(1991–1992),15
611c,Anime: Drawing a Revolution,6.6,,54 min,(2007 TV Movie),84
